Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,District Name,Floor Level,Address,Tenure Lease Period,Tenure From,Tenure Due,Tenure Remaining,Latitude,Longitude,Planning Area,Region
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Office,455000,150.7,"3,019",Jul-24,Strata,14,"32,500",999 yrs lease commencing from 1883,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",01 to 05,"BUKIT TIMAH SHOPPING CENTRE, UPPER BUKIT TIMAH ROAD",999,1883,2882,858,1.34316475341698,103.776031354379,Bukit Timah,West
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,550000,452.09,"1,217",Jul-24,Strata,42,"13,095",99 yrs lease commencing from 1974,7," Middle Road, Golden Mile",06 to 10,"PARKLANE SHOPPING MALL, SELEGIE ROAD",99,1974,2073,49,1.30065102658844,103.84944198056,Rochor,Central
VISION EXCHANGE,VENTURE DRIVE,Office,1320000,764.24,"1,727",Jul-24,Strata,71,"18,592",99 yrs lease commencing from 2013,22, Jurong,06 to 10,"VISION EXCHANGE, VENTURE DRIVE",99,2013,2112,88,1.33015172071471,103.744574631833,Jurong East,West
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1174000,538.2,"2,181",Jul-24,Strata,50,"23,480",99 yrs lease commencing from 2011,14," Geylang, Eunos",06 to 10,"PAYA LEBAR SQUARE, PAYA LEBAR ROAD",99,2011,2110,86,1.31881486980278,103.892580778242,Geylang,East
HAVELOCK2,HAVELOCK ROAD,Office,560000,344.45,"1,626",Jul-24,Strata,32,"17,500",99 yrs lease commencing from 1983,1," Raffles Place, Cecil, Marina, People's Park",06 to 10,"HAVELOCK2, HAVELOCK ROAD",99,1983,2082,58,1.28715061616661,103.845153736863,Singapore River,Central
PLUS,CECIL STREET,Office,4152900,"1,270.15","3,270",Jul-24,Strata,118,"35,194",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",16 to 20,"PLUS, CECIL STREET",99,1989,2088,64,1.28305868511019,103.85047428531,Downtown Core,Central
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1068000,484.38,"2,205",Jul-24,Strata,45,"23,733",99 yrs lease commencing from 2011,14," Geylang, Eunos",06 to 10,"PAYA LEBAR SQUARE, PAYA LEBAR ROAD",99,2011,2110,86,1.31881486980278,103.892580778242,Geylang,East
EON SHENTON,SHENTON WAY,Office,4070000,"1,700.71","2,393",Jul-24,Strata,158,"25,759",99 yrs lease commencing from 2011,2," Anson, Tanjong Pagar",06 to 10,"EON SHENTON, SHENTON WAY",99,2011,2110,86,1.27388660363944,103.846235542245,Downtown Core,Central
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,2350000,"1,001.05","2,348",Jul-24,Strata,93,"25,269",999 yrs lease commencing from 1829,6," High Street, Beach Road (part)",21 to 25,"PENINSULA PLAZA, NORTH BRIDGE ROAD",999,1829,2828,804,1.29231742228801,103.850803179769,Downtown Core,Central
THE CENTRAL,EU TONG SEN STREET,Office,2200000,871.88,"2,523",Jul-24,Strata,81,"27,160",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",16 to 20,"THE CENTRAL, EU TONG SEN STREET",99,2001,2100,76,1.28883856193458,103.846558025016,Singapore River,Central
SBF CENTER,ROBINSON ROAD,Office,5825000,"1,969.81","2,957",Jul-24,Strata,183,"31,831",99 yrs lease commencing from 2011,1," Raffles Place, Cecil, Marina, People's Park",11 to 15,"SBF CENTER, ROBINSON ROAD",99,2011,2110,86,1.27812790985944,103.847854628243,Downtown Core,Central
THE MEZZO,BALESTIER ROAD,Office,1300000,753.48,"1,725",Jul-24,Strata,70,"18,571",Freehold,12," Balestier, Toa Payoh, Serangoon",01 to 05,"THE MEZZO, BALESTIER ROAD",Freehold,Freehold,Freehold,Freehold,1.32052452699851,103.852447326986,Novena,Central
SOLITAIRE ON CECIL,CECIL STREET,Office,55150000,"13,132.08","4,200",Jul-24,Strata,"1,220","45,205",Freehold,1," Raffles Place, Cecil, Marina, People's Park",11 to 15,"SOLITAIRE ON CECIL, CECIL STREET",Freehold,Freehold,Freehold,Freehold,1.28055776022337,103.84850807038,Downtown Core,Central
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,16249199,"4,779.22","3,400",Jul-24,Strata,444,"36,597",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",21 to 25,"SUNTEC TOWER THREE, TEMASEK BOULEVARD",99,1989,2088,64,1.29524342627534,103.859568074944,Downtown Core,Central
CENTROPOD @ CHANGI,CHANGI ROAD,Office,760000,473.62,"1,605",Jul-24,Strata,44,"17,273",Freehold,14," Geylang, Eunos",01 to 05,"CENTROPOD @ CHANGI, CHANGI ROAD",Freehold,Freehold,Freehold,Freehold,1.3163342529209,103.900524938485,Geylang,East
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,900000,441.32,"2,039",Jul-24,Strata,41,"21,951",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05,"KATONG SHOPPING CENTRE, MOUNTBATTEN ROAD",Freehold,Freehold,Freehold,Freehold,1.30382040183737,103.901040040407,Marine Parade,Central
THE PLAZA,BEACH ROAD,Office,1180000,871.88,"1,353",Jul-24,Strata,81,"14,568",99 yrs lease commencing from 1968,7," Middle Road, Golden Mile",11 to 15,"THE PLAZA, BEACH ROAD",99,1968,2067,43,1.29962022781589,103.860647265508,Downtown Core,Central
,RAFFLES QUAY,Office,36000000,"10,128.92","3,554",Jul-24,Strata,941,"38,257",Freehold,1," Raffles Place, Cecil, Marina, People's Park",16 to 20,", RAFFLES QUAY",Freehold,Freehold,Freehold,Freehold,1.2815008889802,103.85216045363,Downtown Core,Central
SBF CENTER,ROBINSON ROAD,Office,2640000,753.48,"3,504",Jul-24,Strata,70,"37,714",99 yrs lease commencing from 2011,1," Raffles Place, Cecil, Marina, People's Park",21 to 25,"SBF CENTER, ROBINSON ROAD",99,2011,2110,86,1.27812790985944,103.847854628243,Downtown Core,Central
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,688000,452.09,"1,522",Jun-24,Strata,42,"16,381",99 yrs lease commencing from 1980,3," Queenstown, Tiong Bahru",01 to 05,"CONCORDE SHOPPING CENTRE, OUTRAM ROAD",99,1980,2079,55,1.28888605616528,103.834206802698,Bukit Merah,Central
THE BENCOOLEN,BENCOOLEN STREET,Office,1080000,753.48,"1,433",Jun-24,Strata,70,"15,429",99 yrs lease commencing from 1995,7," Middle Road, Golden Mile",01 to 05,"THE BENCOOLEN, BENCOOLEN STREET",99,1995,2094,70,1.30166188823652,103.853356123694,Rochor,Central
INTERNATIONAL PLAZA,ANSON ROAD,Office,1613999,936.47,"1,723",Jun-24,Strata,87,"18,552",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",11 to 15,"INTERNATIONAL PLAZA, ANSON ROAD",99,1970,2069,45,1.27588674266836,103.845923793168,Downtown Core,Central
THE ARIZON,GEYLANG ROAD,Office,1100917,"1,151.75",956,Jun-24,Strata,107,"10,289",Freehold,14," Geylang, Eunos",01 to 05,"THE ARIZON, GEYLANG ROAD",Freehold,Freehold,Freehold,Freehold,1.31371862266175,103.886588867863,Geylang,East
