Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,District Name,Floor Level,Address,Tenure Lease Period,Tenure From,Tenure Due,Tenure Remaining,Latitude,Longitude,Planning Area,Region
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Office,2100000,"1,733","1,212",Nov-19,Strata,161,"13,043",999 yrs lease commencing from 1883,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",11 to 15,"BUKIT TIMAH SHOPPING CENTRE, UPPER BUKIT TIMAH ROAD",999,1883,2882,858,1.34316475341698,103.776031354379,Bukit Timah,West
SBF CENTER,ROBINSON ROAD,Office,2298000,678.13,"3,389",Nov-19,Strata,63,"36,476",99 yrs lease commencing from 2011,1," Raffles Place, Cecil, Marina, People's Park",21 to 25,"SBF CENTER, ROBINSON ROAD",99,2011,2110,86,1.27812790985944,103.847854628243,Downtown Core,Central
SBF CENTER,ROBINSON ROAD,Office,1880000,592.02,"3,176",Nov-19,Strata,55,"34,182",99 yrs lease commencing from 2011,1," Raffles Place, Cecil, Marina, People's Park",21 to 25,"SBF CENTER, ROBINSON ROAD",99,2011,2110,86,1.27812790985944,103.847854628243,Downtown Core,Central
PEOPLE'S PARK COMPLEX,PARK ROAD,Office,2000000,441.32,"4,532",Nov-19,Strata,41,"48,780",99 yrs lease commencing from 1968,1," Raffles Place, Cecil, Marina, People's Park",01 to 05,"PEOPLE'S PARK COMPLEX, PARK ROAD",99,1968,2067,43,1.2848558843058,103.842599920236,Outram,Central
THE CENTRAL,EU TONG SEN STREET,Office,2175000,925.7,"2,350",Oct-19,Strata,86,"25,291",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",11 to 15,"THE CENTRAL, EU TONG SEN STREET",99,2001,2100,76,1.28883856193458,103.846558025016,Singapore River,Central
WOODS SQUARE,WOODLANDS SQUARE,Office,1178950,645.84,"1,825",Oct-19,Strata,60,"19,649",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",01 to 05,"WOODS SQUARE, WOODLANDS SQUARE",99,2014,2113,89,1.43475811538242,103.785365472646,Woodlands,North
LUCKY PLAZA,ORCHARD ROAD,Office,1238000,182.99,"6,765",Oct-19,Strata,17,"72,824",Freehold,9," Orchard, Cairnhill, River Valley",01 to 05,"LUCKY PLAZA, ORCHARD ROAD",Freehold,Freehold,Freehold,Freehold,1.30448579105197,103.833941935117,Orchard,Central
CENTRIUM SQUARE,SERANGOON ROAD,Office,1481300,570.49,"2,597",Oct-19,Strata,53,"27,949",Freehold,8, Little India,11 to 15,"CENTRIUM SQUARE, SERANGOON ROAD",Freehold,Freehold,Freehold,Freehold,1.31089355522204,103.855128248182,Kallang,Central
VISION EXCHANGE,VENTURE DRIVE,Office,934579,441.32,"2,118",Oct-19,Strata,41,"22,795",99 yrs lease commencing from 2013,22, Jurong,06 to 10,"VISION EXCHANGE, VENTURE DRIVE",99,2013,2112,88,1.33015172071471,103.744574631833,Jurong East,West
SOHO LIFE,JOO CHIAT ROAD,Office,500000,344.45,"1,452",Oct-19,Strata,32,"15,625",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05,"SOHO LIFE, JOO CHIAT ROAD",Freehold,Freehold,Freehold,Freehold,1.311960653325,103.900424708242,Geylang,East
INTERNATIONAL PLAZA,ANSON ROAD,Office,4290000,"2,357.32","1,820",Oct-19,Strata,219,"19,589",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",26 to 30,"INTERNATIONAL PLAZA, ANSON ROAD",99,1970,2069,45,1.27588674266836,103.845923793168,Downtown Core,Central
CROWN AT ROBINSON,ROBINSON ROAD,Office,3794966,"1,140.98","3,326",Oct-19,Strata,106,"35,802",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10,"CROWN AT ROBINSON, ROBINSON ROAD",Freehold,Freehold,Freehold,Freehold,1.27928232862918,103.848816437936,Downtown Core,Central
CHINATOWN POINT,NEW BRIDGE ROAD,Office,1261682,721.19,"1,749",Oct-19,Strata,67,"18,831",99 yrs lease commencing from 1980,1," Raffles Place, Cecil, Marina, People's Park",16 to 20,"CHINATOWN POINT, NEW BRIDGE ROAD",99,1980,2079,55,1.28499882847401,103.844697081142,Outram,Central
BRIGHT CENTRE,LORONG L TELOK KURAU,Office,1850000,"1,948.28",950,Oct-19,Strata,181,"10,221",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05,"BRIGHT CENTRE, LORONG L TELOK KURAU",Freehold,Freehold,Freehold,Freehold,1.3118205086709,103.910557235164,Bedok,East
THE CENTRAL,EU TONG SEN STREET,Office,4200000,"1,453.14","2,890",Oct-19,Strata,135,"31,111",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",11 to 15,"THE CENTRAL, EU TONG SEN STREET",99,2001,2100,76,1.28883856193458,103.846558025016,Singapore River,Central
TANGLIN SHOPPING CENTRE,TANGLIN ROAD,Office,975000,344.45,"2,831",Oct-19,Strata,32,"30,469",Freehold,10," Ardmore, Bukit Timah, Holland Road, Tanglin",06 to 10,"TANGLIN SHOPPING CENTRE, TANGLIN ROAD",Freehold,Freehold,Freehold,Freehold,1.30640254147338,103.827050620793,Orchard,Central
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,2821500,"1,485.43","1,899",Oct-19,Strata,138,"20,446",999 yrs lease commencing from 1829,6," High Street, Beach Road (part)",11 to 15,"PENINSULA PLAZA, NORTH BRIDGE ROAD",999,1829,2828,804,1.29231742228801,103.850803179769,Downtown Core,Central
WOODS SQUARE,WOODLANDS SQUARE,Office,1052636,559.73,"1,881",Oct-19,Strata,52,"20,243",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",01 to 05,"WOODS SQUARE, WOODLANDS SQUARE",99,2014,2113,89,1.43475811538242,103.785365472646,Woodlands,North
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,992000,505.91,"1,961",Oct-19,Strata,47,"21,106",99 yrs lease commencing from 2011,14," Geylang, Eunos",06 to 10,"PAYA LEBAR SQUARE, PAYA LEBAR ROAD",99,2011,2110,86,1.31881486980278,103.892580778242,Geylang,East
CENTRIUM SQUARE,SERANGOON ROAD,Office,1480000,570.49,"2,594",Oct-19,Strata,53,"27,925",Freehold,8, Little India,11 to 15,"CENTRIUM SQUARE, SERANGOON ROAD",Freehold,Freehold,Freehold,Freehold,1.31089355522204,103.855128248182,Kallang,Central
INTERNATIONAL PLAZA,ANSON ROAD,Office,1853280,936.47,"1,979",Oct-19,Strata,87,"21,302",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",21 to 25,"INTERNATIONAL PLAZA, ANSON ROAD",99,1970,2069,45,1.27588674266836,103.845923793168,Downtown Core,Central
SAMSUNG HUB,CHURCH STREET,Office,11863500,"3,595.18","3,300",Oct-19,Strata,334,"35,519",999 yrs lease commencing from 1827,1," Raffles Place, Cecil, Marina, People's Park",16 to 20,"SAMSUNG HUB, CHURCH STREET",999,1827,2826,802,1.2832632231733,103.849626546611,Downtown Core,Central
SULTAN PLAZA,JALAN SULTAN,Retail,285000,193.75,"1,471",Oct-24,Strata,18,"15,833",99 yrs lease commencing from 1978,7," Middle Road, Golden Mile",01 to 05,"SULTAN PLAZA, JALAN SULTAN",99,1978,2077,53,1.30294528666428,103.861851786605,Kallang,Central
SUITES@ KATONG,TANJONG KATONG ROAD,Retail,1485000,495.14,"2,999",Oct-24,Strata,46,"32,283",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05,"SUITES@ KATONG, TANJONG KATONG ROAD",Freehold,Freehold,Freehold,Freehold,1.30852644093718,103.895100150475,Marine Parade,Central
PENINSULA PLAZA,NORTH BRIDGE ROAD,Retail,1350000,398.27,"3,390",Oct-24,Strata,37,"36,486",999 yrs lease commencing from 1829,6," High Street, Beach Road (part)",01 to 05,"PENINSULA PLAZA, NORTH BRIDGE ROAD",999,1829,2828,804,1.29231742228801,103.850803179769,Downtown Core,Central
WISMA ATRIA,ORCHARD ROAD,Retail,3850000,"1,722.24","2,235",Oct-24,Strata,160,"24,063",99 yrs lease commencing from 1962,9," Orchard, Cairnhill, River Valley",21 to 25,"WISMA ATRIA, ORCHARD ROAD",99,1962,2061,37,1.30370452023703,103.833200970183,Orchard,Central
CITY PLAZA,GEYLANG ROAD,Retail,953988,247.57,"3,853",Sep-24,Strata,23,"41,478",Freehold,14," Geylang, Eunos",01 to 05,"CITY PLAZA, GEYLANG ROAD",Freehold,Freehold,Freehold,Freehold,1.3147868971977,103.893472115119,Geylang,East
ONE CLAYMORE,CLAYMORE DRIVE,Retail,9200000,"2,647.94","3,474",Sep-24,Strata,246,"37,398",Freehold,9," Orchard, Cairnhill, River Valley",01 to 05,"ONE CLAYMORE, CLAYMORE DRIVE",Freehold,Freehold,Freehold,Freehold,1.30718324095372,103.829514853918,Orchard,Central
THE CENTREPOINT,ORCHARD ROAD,Retail,5200000,"1,313.21","3,960",Sep-24,Strata,122,"42,623",99 yrs lease commencing from 1979,9," Orchard, Cairnhill, River Valley",01 to 05,"THE CENTREPOINT, ORCHARD ROAD",99,1979,2078,54,1.30145045537088,103.840034074858,Orchard,Central
EAST VILLAGE,UPPER CHANGI ROAD,Retail,630000,204.52,"3,080",Sep-24,Strata,19,"33,158",Freehold,16," Bedok, Upper East Coast, Eastwood, Kew Drive",01 to 05,"EAST VILLAGE, UPPER CHANGI ROAD",Freehold,Freehold,Freehold,Freehold,1.3317758150305,103.946201241591,Bedok,East
TEXTILE CENTRE,JALAN SULTAN,Retail,1600000,925.7,"1,728",Sep-24,Strata,86,"18,605",99 yrs lease commencing from 1970,7," Middle Road, Golden Mile",01 to 05,"TEXTILE CENTRE, JALAN SULTAN",99,1970,2069,45,1.30393835645617,103.861630792094,Kallang,Central
THE ARCADE,COLLYER QUAY,Retail,2800000,505.91,"5,535",Sep-24,Strata,47,"59,574",99 yrs lease commencing from 1979,1," Raffles Place, Cecil, Marina, People's Park",01 to 05,"THE ARCADE, COLLYER QUAY",99,1979,2078,54,1.283619583733,103.852068945868,Downtown Core,Central
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,1280000,236.81,"5,405",Sep-24,Strata,22,"58,182",99 yrs lease commencing from 1968,1," Raffles Place, Cecil, Marina, People's Park",01 to 05,"PEOPLE'S PARK COMPLEX, PARK ROAD",99,1968,2067,43,1.2848558843058,103.842599920236,Outram,Central
BUGIS CUBE,NORTH BRIDGE ROAD,Retail,1083333,279.86,"3,871",Sep-24,Strata,26,"41,667",999 yrs lease commencing from 1827,7," Middle Road, Golden Mile",01 to 05,"BUGIS CUBE, NORTH BRIDGE ROAD",999,1827,2826,802,1.2981408343975,103.855635339249,Downtown Core,Central
PARKWAY CENTRE,MARINE PARADE CENTRAL,Retail,4500000,"1,087.16","4,139",Sep-24,Strata,101,"44,554",99 yrs lease commencing from 1981,15," Katong, Joo Chiat, Amber Road",01 to 05,"PARKWAY CENTRE, MARINE PARADE CENTRAL",99,1981,2080,56,1.30188732078192,103.905996468402,Marine Parade,Central
THE MIDTOWN,UPPER SERANGOON ROAD,Retail,1800000,753.48,"2,389",Sep-24,Strata,70,"25,714",99 yrs lease commencing from 2013,19," Serangoon Garden, Hougang, Punggol",01 to 05,"THE MIDTOWN, UPPER SERANGOON ROAD",99,2013,2112,88,1.37050445523679,103.895291518188,Hougang,North
THE PROMENADE@PELIKAT,JALAN PELIKAT,Retail,490000,236.81,"2,069",Sep-24,Strata,22,"22,273",Freehold,19," Serangoon Garden, Hougang, Punggol",01 to 05,"THE PROMENADE@PELIKAT, JALAN PELIKAT",Freehold,Freehold,Freehold,Freehold,1.35530904178242,103.887857183262,Hougang,North
BUGIS CUBE,NORTH BRIDGE ROAD,Retail,916667,236.81,"3,871",Sep-24,Strata,22,"41,667",999 yrs lease commencing from 1827,7," Middle Road, Golden Mile",01 to 05,"BUGIS CUBE, NORTH BRIDGE ROAD",999,1827,2826,802,1.2981408343975,103.855635339249,Downtown Core,Central
ORCHARD TOWERS,ORCHARD ROAD,Retail,989000,258.34,"3,828",Sep-24,Strata,24,"41,208",Freehold,9," Orchard, Cairnhill, River Valley",01 to 05,"ORCHARD TOWERS, ORCHARD ROAD",Freehold,Freehold,Freehold,Freehold,1.30698264136605,103.829330794895,Orchard,Central
SIM LIM SQUARE,ROCHOR CANAL ROAD,Retail,970000,387.5,"2,503",Aug-24,Strata,36,"26,944",99 yrs lease commencing from 1983,7," Middle Road, Golden Mile",01 to 05,"SIM LIM SQUARE, ROCHOR CANAL ROAD",99,1983,2082,58,1.30290658774258,103.853031869482,Rochor,Central
THE 101,BEACH ROAD,Retail,8707260,"1,539.25","5,657",Aug-24,Strata,143,"60,890",999 yrs lease commencing from 1827,7," Middle Road, Golden Mile",01 to 05,"THE 101, BEACH ROAD",999,1827,2826,802,1.29775245086994,103.856949531399,Downtown Core,Central
FAR EAST PLAZA,SCOTTS ROAD,Retail,2800000,398.27,"7,030",Aug-24,Strata,37,"75,676",Freehold,9," Orchard, Cairnhill, River Valley",01 to 05,"FAR EAST PLAZA, SCOTTS ROAD",Freehold,Freehold,Freehold,Freehold,1.30730468891062,103.833818438639,Orchard,Central
FAR EAST PLAZA,SCOTTS ROAD,Retail,2100000,452.09,"4,645",Aug-24,Strata,42,"50,000",Freehold,9," Orchard, Cairnhill, River Valley",01 to 05,"FAR EAST PLAZA, SCOTTS ROAD",Freehold,Freehold,Freehold,Freehold,1.30730468891062,103.833818438639,Orchard,Central
ALEXIS,ALEXANDRA ROAD,Retail,7000000,"2,163.56","3,235",Aug-24,Strata,201,"34,826",Freehold,3," Queenstown, Tiong Bahru",01 to 05,"ALEXIS, ALEXANDRA ROAD",Freehold,Freehold,Freehold,Freehold,1.29113340546347,103.807354818647,Queenstown,Central
THE CENTREPOINT,ORCHARD ROAD,Retail,1550000,516.67,"3,000",Aug-24,Strata,48,"32,292",99 yrs lease commencing from 1979,9," Orchard, Cairnhill, River Valley",01 to 05,"THE CENTREPOINT, ORCHARD ROAD",99,1979,2078,54,1.30145045537088,103.840034074858,Orchard,Central
HOLLAND ROAD SHOPPING CENTRE,HOLLAND AVENUE,Retail,2900000,613.55,"4,727",Aug-24,Strata,57,"50,877",Freehold,10," Ardmore, Bukit Timah, Holland Road, Tanglin",01 to 05,"HOLLAND ROAD SHOPPING CENTRE, HOLLAND AVENUE",Freehold,Freehold,Freehold,Freehold,1.31027747574118,103.795371163103,Queenstown,Central
SOUTHBANK,NORTH BRIDGE ROAD,Retail,550000,182.99,"3,006",Aug-24,Strata,17,"32,353",99 yrs lease commencing from 2006,7," Middle Road, Golden Mile",01 to 05,"SOUTHBANK, NORTH BRIDGE ROAD",99,2006,2105,81,1.30631203112933,103.864308334438,Kallang,Central
THE COMMERZE@IRVING,IRVING PLACE,Retail,535000,430.56,"1,243",Aug-24,Strata,40,"13,375",60 yrs lease commencing from 2011,13," Macpherson, Braddell",01 to 05,"THE COMMERZE@IRVING, IRVING PLACE",60,2011,2071,47,1.33623678708616,103.88643382511,Toa Payoh,Central
COCO PALMS,PASIR RIS GROVE,Retail,1250000,602.78,"2,074",Aug-24,Strata,56,"22,321",99 yrs lease commencing from 2008,18," Tampines, Pasir Ris",01 to 05,"COCO PALMS, PASIR RIS GROVE",99,2008,2107,83,1.37103747120617,103.946578860859,Pasir Ris,East
TONG BUILDING,ORCHARD ROAD,Retail,13965840,"3,422.95","4,080",Aug-24,Strata,318,"43,918",Freehold,9," Orchard, Cairnhill, River Valley",16 to 20,"TONG BUILDING, ORCHARD ROAD",Freehold,Freehold,Freehold,Freehold,1.30394537388751,103.834827426749,Orchard,Central
VIBES @ KOVAN,KOVAN ROAD,Retail,620000,312.16,"1,986",Aug-24,Strata,29,"21,379",Freehold,19," Serangoon Garden, Hougang, Punggol",01 to 05,"VIBES @ KOVAN, KOVAN ROAD",Freehold,Freehold,Freehold,Freehold,1.35482511473466,103.877603175814,Hougang,North
SIM LIM SQUARE,ROCHOR CANAL ROAD,Retail,1750000,409.03,"4,278",Aug-24,Strata,38,"46,053",99 yrs lease commencing from 1983,7," Middle Road, Golden Mile",06 to 10,"SIM LIM SQUARE, ROCHOR CANAL ROAD",99,1983,2082,58,1.30290658774258,103.853031869482,Rochor,Central
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Retail,840000,226.04,"3,716",Aug-24,Strata,21,"40,000",Freehold,15," Katong, Joo Chiat, Amber Road",B1 to B5,"KATONG SHOPPING CENTRE, MOUNTBATTEN ROAD",Freehold,Freehold,Freehold,Freehold,1.30382040183737,103.901040040407,Marine Parade,Central
VIVA VISTA,SOUTH BUONA VISTA ROAD,Retail,340000,150.7,"2,256",Aug-24,Strata,14,"24,286",Freehold,5," Pasir Panjang, Hong Leong Garden, Clementi New Town",B1 to B5,"VIVA VISTA, SOUTH BUONA VISTA ROAD",Freehold,Freehold,Freehold,Freehold,1.27980322314972,103.78590960328,Queenstown,Central
KAP,KING ALBERT PARK,Retail,1630000,398.27,"4,093",Jul-24,Strata,37,"44,054",Freehold,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",01 to 05,"KAP, KING ALBERT PARK",Freehold,Freehold,Freehold,Freehold,1.3369739915192,103.779316558394,Bukit Timah,West
KAP,KING ALBERT PARK,Retail,1550000,376.74,"4,114",Jul-24,Strata,35,"44,286",Freehold,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",01 to 05,"KAP, KING ALBERT PARK",Freehold,Freehold,Freehold,Freehold,1.3369739915192,103.779316558394,Bukit Timah,West
BUGIS CUBE,NORTH BRIDGE ROAD,Retail,1200000,355.21,"3,378",Jul-24,Strata,33,"36,364",999 yrs lease commencing from 1827,7," Middle Road, Golden Mile",01 to 05,"BUGIS CUBE, NORTH BRIDGE ROAD",999,1827,2826,802,1.2981408343975,103.855635339249,Downtown Core,Central
SUITES AT BUKIT TIMAH,JALAN JURONG KECHIL,Retail,380000,107.64,"3,530",Jul-24,Strata,10,"38,000",Freehold,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",01 to 05,"SUITES AT BUKIT TIMAH, JALAN JURONG KECHIL",Freehold,Freehold,Freehold,Freehold,1.34054847886549,103.773649129593,Bukit Timah,West
SIM LIM TOWER,JALAN BESAR,Retail,832000,279.86,"2,973",Jul-24,Strata,26,"32,000",Freehold,8, Little India,01 to 05,"SIM LIM TOWER, JALAN BESAR",Freehold,Freehold,Freehold,Freehold,1.30381132990834,103.854639960657,Rochor,Central
GRANDLINK SQUARE,GUILLEMARD ROAD,Retail,1240000,301.39,"4,114",Jul-24,Strata,28,"44,286",Freehold,14," Geylang, Eunos",01 to 05,"GRANDLINK SQUARE, GUILLEMARD ROAD",Freehold,Freehold,Freehold,Freehold,1.3141912983094,103.891500511011,Geylang,East
SIM LIM SQUARE,ROCHOR CANAL ROAD,Retail,1000000,409.03,"2,445",Jul-24,Strata,38,"26,316",99 yrs lease commencing from 1983,7," Middle Road, Golden Mile",01 to 05,"SIM LIM SQUARE, ROCHOR CANAL ROAD",99,1983,2082,58,1.30290658774258,103.853031869482,Rochor,Central
ORCHARD TOWERS,ORCHARD ROAD,Retail,1150000,258.34,"4,452",Jul-24,Strata,24,"47,917",Freehold,9," Orchard, Cairnhill, River Valley",B1 to B5,"ORCHARD TOWERS, ORCHARD ROAD",Freehold,Freehold,Freehold,Freehold,1.30698264136605,103.829330794895,Orchard,Central
ICON@CHANGI,CHANGI ROAD,Retail,340000,161.46,"2,106",Jul-24,Strata,15,"22,667",Freehold,14," Geylang, Eunos",B1 to B5,"ICON@CHANGI, CHANGI ROAD",Freehold,Freehold,Freehold,Freehold,1.31724236939499,103.904690327616,Geylang,East
CORONATION SHOPPING PLAZA,BUKIT TIMAH ROAD,Retail,1170000,258.34,"4,529",Jul-24,Strata,24,"48,750",Freehold,10," Ardmore, Bukit Timah, Holland Road, Tanglin",01 to 05,"CORONATION SHOPPING PLAZA, BUKIT TIMAH ROAD",Freehold,Freehold,Freehold,Freehold,1.32383512178759,103.809999570047,Bukit Timah,West
SIM LIM TOWER,JALAN BESAR,Retail,745000,279.86,"2,662",Jul-24,Strata,26,"28,654",Freehold,8, Little India,01 to 05,"SIM LIM TOWER, JALAN BESAR",Freehold,Freehold,Freehold,Freehold,1.30381132990834,103.854639960657,Rochor,Central
EON SHENTON,SHENTON WAY,Retail,2520000,"1,033.34","2,439",Jul-24,Strata,96,"26,250",99 yrs lease commencing from 2011,2," Anson, Tanjong Pagar",16 to 20,"EON SHENTON, SHENTON WAY",99,2011,2110,86,1.27388660363944,103.846235542245,Downtown Core,Central
CITY PLAZA,GEYLANG ROAD,Retail,4800000,"1,184.04","4,054",Jul-24,Strata,110,"43,636",Freehold,14," Geylang, Eunos",01 to 05,"CITY PLAZA, GEYLANG ROAD",Freehold,Freehold,Freehold,Freehold,1.3147868971977,103.893472115119,Geylang,East
VISIONCREST,PENANG ROAD,Retail,2129300,419.8,"5,072",Jul-24,Strata,39,"54,597",Freehold,9," Orchard, Cairnhill, River Valley",01 to 05,"VISIONCREST, PENANG ROAD",Freehold,Freehold,Freehold,Freehold,1.29910790069205,103.842700035576,Museum,Central
VISIONCREST,PENANG ROAD,Retail,1744000,344.45,"5,063",Jul-24,Strata,32,"54,500",Freehold,9," Orchard, Cairnhill, River Valley",01 to 05,"VISIONCREST, PENANG ROAD",Freehold,Freehold,Freehold,Freehold,1.29910790069205,103.842700035576,Museum,Central
VISIONCREST,PENANG ROAD,Retail,1740500,344.45,"5,053",Jul-24,Strata,32,"54,391",Freehold,9," Orchard, Cairnhill, River Valley",01 to 05,"VISIONCREST, PENANG ROAD",Freehold,Freehold,Freehold,Freehold,1.29910790069205,103.842700035576,Museum,Central
VISIONCREST,PENANG ROAD,Retail,1435000,279.86,"5,127",Jul-24,Strata,26,"55,192",Freehold,9," Orchard, Cairnhill, River Valley",01 to 05,"VISIONCREST, PENANG ROAD",Freehold,Freehold,Freehold,Freehold,1.29910790069205,103.842700035576,Museum,Central
UPPER SERANGOON SHOPPING CENTRE,UPPER SERANGOON ROAD,Retail,580000,247.57,"2,343",Jul-24,Strata,23,"25,217",Freehold,19," Serangoon Garden, Hougang, Punggol",01 to 05,"UPPER SERANGOON SHOPPING CENTRE, UPPER SERANGOON ROAD",Freehold,Freehold,Freehold,Freehold,1.35348082277147,103.878828134896,Hougang,North
PENINSULA PLAZA,NORTH BRIDGE ROAD,Retail,1100000,398.27,"2,762",Jul-24,Strata,37,"29,730",999 yrs lease commencing from 1829,6," High Street, Beach Road (part)",01 to 05,"PENINSULA PLAZA, NORTH BRIDGE ROAD",999,1829,2828,804,1.29231742228801,103.850803179769,Downtown Core,Central
GOLDEN MILE TOWER,BEACH ROAD,Retail,335000,204.52,"1,638",Jul-24,Strata,19,"17,632",99 yrs lease commencing from 1969,7," Middle Road, Golden Mile",01 to 05,"GOLDEN MILE TOWER, BEACH ROAD",99,1969,2068,44,1.30189174683933,103.864140679249,Downtown Core,Central
PARKWAY CENTRE,MARINE PARADE CENTRAL,Retail,2250960,"1,356.26","1,660",Jul-24,Strata,126,"17,865",99 yrs lease commencing from 1981,15," Katong, Joo Chiat, Amber Road",01 to 05,"PARKWAY CENTRE, MARINE PARADE CENTRAL",99,1981,2080,56,1.30188732078192,103.905996468402,Marine Parade,Central
PARKWAY CENTRE,MARINE PARADE CENTRAL,Retail,1875800,"1,130.22","1,660",Jul-24,Strata,105,"17,865",99 yrs lease commencing from 1981,15," Katong, Joo Chiat, Amber Road",11 to 15,"PARKWAY CENTRE, MARINE PARADE CENTRAL",99,1981,2080,56,1.30188732078192,103.905996468402,Marine Parade,Central
PARKWAY CENTRE,MARINE PARADE CENTRAL,Retail,7093180,"4,273.31","1,660",Jul-24,Strata,397,"17,867",99 yrs lease commencing from 1981,15," Katong, Joo Chiat, Amber Road",11 to 15,"PARKWAY CENTRE, MARINE PARADE CENTRAL",99,1981,2080,56,1.30188732078192,103.905996468402,Marine Parade,Central
BEAUTY WORLD CENTRE,UPPER BUKIT TIMAH ROAD,Retail,1100000,441.32,"2,492",Jul-24,Strata,41,"26,829",99 yrs lease commencing from 1979,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",01 to 05,"BEAUTY WORLD CENTRE, UPPER BUKIT TIMAH ROAD",99,1979,2078,54,1.34241264188642,103.776539385406,Bukit Timah,West
CITY GATE,BEACH ROAD,Retail,1296400,462.85,"2,801",Jul-24,Strata,43,"30,149",99 yrs lease commencing from 2014,7," Middle Road, Golden Mile",B1 to B5,"CITY GATE, BEACH ROAD",99,2014,2113,89,1.30231590504573,103.862331661034,Kallang,Central
CHARLTON CORNER,CHARLTON LANE,Retail,125000,53.82,"2,323",Jul-24,Strata,5,"25,000",Freehold,19," Serangoon Garden, Hougang, Punggol",01 to 05,"CHARLTON CORNER, CHARLTON LANE",Freehold,Freehold,Freehold,Freehold,1.35557651472076,103.881552486332,Hougang,North
BEAUTY WORLD CENTRE,UPPER BUKIT TIMAH ROAD,Retail,1550000,462.85,"3,349",Jul-24,Strata,43,"36,047",99 yrs lease commencing from 1979,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",01 to 05,"BEAUTY WORLD CENTRE, UPPER BUKIT TIMAH ROAD",99,1979,2078,54,1.34241264188642,103.776539385406,Bukit Timah,West
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,1088000,258.34,"4,212",Jul-24,Strata,24,"45,333",Freehold,3," Queenstown, Tiong Bahru",01 to 05,"QUEENSWAY SHOPPING CENTRE, QUEENSWAY",Freehold,Freehold,Freehold,Freehold,1.28761792586115,103.803391140455,Queenstown,Central
EASTWOOD CENTRE,EASTWOOD ROAD,Retail,4300000,"2,292.73","1,875",Jul-24,Strata,213,"20,188",99 yrs lease commencing from 1995,16," Bedok, Upper East Coast, Eastwood, Kew Drive",01 to 05,"EASTWOOD CENTRE, EASTWOOD ROAD",99,1995,2094,70,1.32154249881548,103.955535617961,Bedok,East
BEAUTY WORLD CENTRE,UPPER BUKIT TIMAH ROAD,Retail,1000000,312.16,"3,204",Jun-24,Strata,29,"34,483",99 yrs lease commencing from 1979,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",01 to 05,"BEAUTY WORLD CENTRE, UPPER BUKIT TIMAH ROAD",99,1979,2078,54,1.34241264188642,103.776539385406,Bukit Timah,West
TEXTILE CENTRE,JALAN SULTAN,Retail,8800000,"3,347.60","2,629",Jun-24,Strata,311,"28,296",99 yrs lease commencing from 1970,7," Middle Road, Golden Mile",01 to 05,"TEXTILE CENTRE, JALAN SULTAN",99,1970,2069,45,1.30393835645617,103.861630792094,Kallang,Central
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Retail,480000,279.86,"1,715",Jun-24,Strata,26,"18,462",99 yrs lease commencing from 1980,3," Queenstown, Tiong Bahru",01 to 05,"CONCORDE SHOPPING CENTRE, OUTRAM ROAD",99,1980,2079,55,1.28888605616528,103.834206802698,Bukit Merah,Central
PAVILION SQUARE,GEYLANG ROAD,Retail,180000,86.11,"2,090",Jun-24,Strata,8,"22,500",Freehold,14," Geylang, Eunos",01 to 05,"PAVILION SQUARE, GEYLANG ROAD",Freehold,Freehold,Freehold,Freehold,1.31297800060859,103.879770800217,Geylang,East
CORONATION SHOPPING PLAZA,BUKIT TIMAH ROAD,Retail,1150000,258.34,"4,452",Jun-24,Strata,24,"47,917",Freehold,10," Ardmore, Bukit Timah, Holland Road, Tanglin",01 to 05,"CORONATION SHOPPING PLAZA, BUKIT TIMAH ROAD",Freehold,Freehold,Freehold,Freehold,1.32383512178759,103.809999570047,Bukit Timah,West
